id,nom,adresse
1,Cabinet Principal,"123 Rue de la Santé, 75001 Paris"
2,Cabinet Secondaire,"45 Avenue des Médecins, 69000 Lyon"
3,Clinique,"78 Boulevard Médical, 13000 Marseille"
4,Centre de Santé,"12 Place de la Santé, 33000 Bordeaux"
5,Cabinet Urgence,"56 Rue de l'Urgence, 31000 Toulouse"
6,Cabinet Principal,"123 Rue de la Santé, 75001 Paris"
7,Cabinet Secondaire,"45 Avenue des Médecins, 69000 Lyon"
8,Clinique,"78 Boulevard Médical, 13000 Marseille"
9,Centre de Santé,"12 Place de la Santé, 33000 Bordeaux"
10,Cabinet Urgence,"56 Rue de l'Urgence, 31000 Toulouse"
